account_length,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,intl_plan_yes,voice_mail_plan_yes
0.7603305785123967,0.0,0.25484606613454963,0.4723926380368098,0.25486250838363517,0.7943359912015396,0.7529411764705882,0.7945648657392429,0.41240506329113924,0.5470588235294117,0.4124929656724817,0.5279187817258884,0.1111111111111111,0.5281954887218044,0.3333333333333333,0.0,0.0
0.23966942148760334,0.0,0.3072976054732041,0.6932515337423313,0.3073440643863179,0.5955457794885894,0.7352941176470588,0.5956001294079586,0.5506329113924051,0.5411764705882353,0.5509285312324141,0.5025380710659899,0.16666666666666666,0.5018796992481203,0.2222222222222222,0.0,0.0
0.5123966942148761,0.0,0.5461801596351197,0.7055214723926381,0.546109993293092,0.5653010723123453,0.6352941176470588,0.5655127790359107,0.5321518987341772,0.7235294117647059,0.5323579065841306,0.46700507614213194,0.16666666666666666,0.46616541353383456,0.2222222222222222,0.0,0.0
0.2975206611570248,0.0,0.685005701254276,0.7975460122699387,0.6849429912810195,0.44679681055815235,0.48823529411764705,0.4467809770300874,0.5870886075949368,0.8,0.5875070343275183,0.6040609137055838,0.16666666666666666,0.6033834586466165,0.0,0.0,0.0
0.4297520661157025,0.0,0.6510832383124288,0.6134969325153374,0.6510731052984574,0.39895518284300246,0.6352941176470588,0.3989000323519897,0.6210126582278481,0.8235294117647058,0.6212718064153067,0.39086294416243655,0.38888888888888884,0.39097744360902253,0.0,1.0,0.0
0.8181818181818182,0.6538461538461539,0.6573546180159635,0.7423312883435583,0.6572769953051644,0.6032444322243607,0.5823529411764706,0.6033646069233257,0.7577215189873419,0.5529411764705883,0.7580191333708498,0.40609137055837563,0.1111111111111111,0.40601503759398494,0.0,0.0,1.0
0.37190082644628103,0.75,0.48403648802736604,0.6441717791411044,0.4840710932260229,0.17926862799010174,0.6823529411764706,0.17923002264639276,0.3655696202531646,0.5411764705882353,0.3657850309510411,0.5532994923857868,0.2222222222222222,0.5526315789473684,0.1111111111111111,0.0,1.0
0.756198347107438,0.0,0.6738882554161916,0.44785276073619634,0.6738765928906774,0.7899367610668133,0.7058823529411764,0.7900355871886122,0.48607594936708864,0.5529411764705883,0.4862127180641531,0.700507614213198,0.2222222222222222,0.7011278195488722,0.1111111111111111,0.0,0.0
0.5537190082644629,0.8846153846153847,0.492018244013683,0.4723926380368098,0.4919517102615694,0.5592521308770966,0.6,0.5593659010029116,0.6688607594936709,0.6352941176470588,0.6691052335396737,0.5279187817258884,0.1111111111111111,0.5281954887218044,0.1111111111111111,0.0,1.0
0.27272727272727276,0.0,0.6679019384264538,0.6809815950920246,0.6678403755868545,0.5675006873797086,0.5117647058823529,0.5674538984147525,0.3982278481012659,0.5941176470588235,0.3984243106359032,0.29441624365482233,0.5555555555555556,0.2951127819548872,0.3333333333333333,0.0,0.0
0.243801652892562,0.8653846153846154,0.3865450399087799,0.6196319018404908,0.386485580147552,0.26092933736596097,0.4294117647058823,0.26108055645422196,0.389873417721519,0.6941176470588235,0.3899831176139561,0.4974619289340102,0.16666666666666666,0.49812030075187963,0.4444444444444444,1.0,1.0
0.48347107438016534,0.0,0.22120866590649943,0.6932515337423313,0.22116029510395707,0.3489139400604894,0.4411764705882353,0.3490779682950501,0.4835443037974684,0.4647058823529412,0.48339898705683737,0.7563451776649747,0.2222222222222222,0.7556390977443608,0.1111111111111111,0.0,0.0
0.39669421487603307,0.0,0.621436716077537,0.5276073619631902,0.6213950368879947,0.5059114654935386,0.5529411764705883,0.5059851180847622,0.6088607594936709,0.6470588235294118,0.6088913899831176,0.32487309644670054,0.4444444444444444,0.325187969924812,0.3333333333333333,0.0,0.0
0.32644628099173556,0.0,0.40735461801596357,0.4294478527607362,0.4072769953051643,0.6092933736596096,0.48823529411764705,0.6095114849563248,0.30734177215189873,0.6529411764705882,0.3072594259988745,0.7715736040609137,0.2222222222222222,0.7706766917293232,0.1111111111111111,0.0,0.0
